,annual_mean_p,annual_mean_slope,annual_mean,annual_var_p,annual_var_slope,annual_var,annual_cov_p,annual_cov_slope,annual_cov,annual_freq_p,annual_freq_slope,annual_freq,num_domain_stations
1,0.0,2.0814814814815,1115.2169033237597,0.0,0.3988464895206001,169.63103117135663,0.8862430773563956,-5.936273324164593e-06,0.15261120064747438,0.0,0.07692307692307693,116.84778490327793,195.0
2,5.1503195930280305e-08,0.3285714285714275,1189.4681978318456,0.0,0.892525011317426,207.55124689101052,0.0,0.0007257413985746331,0.17729048302662131,8.534366930934567e-07,0.0,95.3286934897537,170.0
3,0.040399460316712384,-1.1195238095237938,1391.9204084495332,0.0,0.8192946897326413,262.6950420572746,0.0,0.0007461513087143647,0.19034853898927312,3.552713678800501e-15,-0.16666666666666666,90.24312641127504,114.0
4,0.2038161298470209,2.9344827586206708,1492.0092603708144,0.1844862991927996,0.16020620143064335,240.6926509387491,1.5920240483691117e-06,-0.00038766220642368976,0.1620398299846861,0.16566226422625194,0.09090909090909093,107.02001633986929,6.0
5,0.0,1.2285714285713991,856.2399890039939,0.8452911600816084,0.0016087620223452055,134.20549800955732,0.0,-0.00021582062504861712,0.15829143686112168,4.113664586746779e-08,0.038461538461538464,100.44496009094877,166.0
6,0.0,2.2700000000000498,900.143430300466,0.9237716826774358,-0.01834207767755913,180.56113589022175,0.0,-0.00046849762103311,0.20312929850606606,2.754230177259842e-09,0.0,82.73326511757702,375.0
7,0.0,1.7627314814814643,1224.986833077036,0.0,0.6428537657520242,205.56522398175855,0.0,0.0003510945587159408,0.1698884756469104,1.1792247556208224e-07,0.0,107.28194356938995,153.0
8,7.764806353449671e-08,0.7333333333333043,1311.6596233553687,0.0,0.21323579052929947,253.846355444331,0.0,0.0001336508679237457,0.1967042088593597,0.6986645428802585,-0.045454545454545456,86.57466807862161,236.0
9,0.0,1.2500000000000149,455.1364436085849,0.0001456347838240113,0.006005404877969104,108.6884392718645,0.0,-0.000618105676041137,0.24369644056949885,1.8173951232824948e-10,0.04,60.7783986907757,208.0
10,0.17820618681718914,0.3433333333333394,514.4037711687381,0.0,0.7527608582033947,122.11657401914816,0.0,0.0014579314173134561,0.2373451474480672,1.6548717489683897e-06,0.0,53.06639007383311,173.0
11,0.4218297171365204,0.3671171171171255,836.7774016043248,0.0,1.99214144891414,210.14465689888146,0.0,0.002447651326979071,0.2551856834435379,2.2870594307278225e-14,-0.10714285714285714,59.453082815076606,158.0
12,0.009765859644762951,-0.6148351648351549,401.7058413049849,0.0,-0.3183033758197664,86.3323216629944,0.0,-0.0006590950513623711,0.2229641088789526,0.03471679546968609,-0.08633540372670807,75.3132824066838,48.0
13,9.652083576838777e-10,-0.4916666666666695,356.75278509814484,0.27634961531183544,0.03550808174074005,86.5059352134392,0.0,0.0005707427753550515,0.24595226669470904,0.0,-0.10344827586206896,56.888721408526145,123.0
14,0.0,-1.55,269.23030662077844,0.0,-0.4070663015524062,102.74900200361782,0.0,0.0008013033668443051,0.4104291634017028,0.0,-0.2,31.62827076283267,61.0
15,3.118794691947535e-05,-0.4681818181818187,337.31104550873226,0.0,-0.09277949116190233,84.96654609952388,1.4294489001587253e-05,-3.3680786190524035e-05,0.26760648179961016,0.00034199219631703137,-0.0625,59.86644850170314,112.0
16,1.3432652767875195e-09,1.3357142857142768,1536.5545103719573,7.689182406345195e-07,-0.2443550458472359,292.8580345353402,1.8393107037439904e-09,-0.00020973545735817776,0.20020737566204197,0.029082087348611063,0.0,136.21249164293877,92.0
17,5.3290705182007514e-14,-1.4909090909090943,616.2442626975002,0.0,-1.0629896199139997,240.5489155038516,0.0,-0.000837146772050201,0.4029944209005565,1.2955994055374733e-08,-0.08333333333333333,46.381242095880296,101.0
18,4.299910288496633e-06,2.0891812865497066,358.5186274509806,0.556279107584152,-0.04364203061987442,72.70213709751589,5.105504907731984e-10,-0.0016839491880911767,0.2326938997831733,0.0008090717830409044,0.3157894736842105,80.23529411764707,4.0
19,0.2938406676775105,0.5400000000000034,436.2391214083016,0.01643887310845593,-0.12507186321038688,92.34251224005976,1.0169663111625482e-08,-0.0004909837141506049,0.2138013098816644,0.5610006932816285,0.0,84.92486243597274,13.0
20,0.7156364918333171,0.2,1311.224842799899,0.0,-0.784520914795803,287.0916344372668,6.699193866310793e-09,-0.0004126103158457369,0.26047597368041603,0.11062993560961608,-0.05882352941176471,119.68401147140581,34.0
