,Unnamed: 0,annual_mean_p,annual_mean_slope,annual_mean,annual_var_p,annual_var_slope,annual_var,annual_cov_p,annual_cov_slope,annual_cov,annual_freq_p,annual_freq_slope,annual_freq,num_domain_stations
0,0,0.0,2.257142857142852,1082.653237972355,0.0,0.454996535001817,166.89282551881035,0.6038974663640517,1.0542069241411038e-05,0.15437194258882808,0.0,0.09523809523809523,115.22136953705532,157.0
1,1,0.0,1.3372549019607762,1166.4924729906595,0.0,0.8746799078386644,197.382430389908,0.0,0.0007049943774875293,0.16990281601218726,4.440892098500626e-16,0.045454545454545456,93.57226215646094,156.0
2,2,0.0,1.8374999999999584,1370.417269043325,0.06463148854389078,-0.08021619376869613,265.65334130614525,1.5737448744168605e-07,-0.00017368322982581666,0.19440225457191065,0.24251680222216665,0.0,89.82470230373876,96.0
3,3,0.002524158611678651,2.1904158215010385,1472.0325920038777,0.0,-2.1157703389328084,273.9952410215983,0.0,-0.001630480668696634,0.1865864149860048,7.384168549950942e-07,0.16666666666666666,104.72575685397429,7.0
4,4,0.0,1.8599999999999952,831.8829674844558,0.0044212983237883466,-0.05164271062119265,133.66342113356785,0.0,-0.00037478396587539215,0.16279621035811934,0.0,0.1111111111111111,98.6614143263092,155.0
5,5,0.0,2.3888888888888893,873.5360539747406,0.00010607763837544583,0.05814059317395619,178.74531301822518,0.0,-0.0004305141564508093,0.20701395040293752,0.0,0.1111111111111111,81.21420193433345,351.0
6,6,0.0,2.3999999999999915,1194.1568375942065,0.0,0.816343188760394,193.21818901154393,0.0,0.00046938384427871983,0.16234985042404218,0.0,0.07142857142857142,106.1744303232957,123.0
7,7,0.0,2.7399999999999407,1273.8539801251711,8.841727128228173e-09,0.16811385636003634,250.4620243894175,0.0,-0.0002242041951368997,0.19872452253994932,0.0,0.06382978723404255,85.38488848151975,204.0
8,8,0.0,1.0377413479052846,454.8877462018599,0.0,0.2234253829610986,105.52984538042848,0.3141337454774047,-2.962632375310025e-05,0.23663764541702506,0.0,0.06896551724137931,60.48457161897337,186.0
9,9,0.0,0.8686342592592537,510.2834478412584,0.010545496156161738,-0.04473730488137357,131.93703981985234,0.0,-0.0004206171830688908,0.2491003173011761,6.392609641414638e-06,0.015625,52.577309110461734,169.0
10,10,0.0,2.104880952380949,824.7797561355239,0.0,0.3519739905718069,210.76281833715495,0.4613599835005657,3.53159533511496e-05,0.25841197175623043,0.0,0.07142857142857142,59.10180833721138,133.0
11,11,0.05031721857741989,0.14285714285715098,380.45612355212313,0.7924316419958309,-0.005031262161980164,82.82840812571436,0.17257290083176935,-6.951684194530917e-05,0.22515118754901092,0.5166634575323572,0.0,72.2942476775352,43.0
12,12,5.773159728050814e-15,0.41025641025641024,354.8403635815968,3.2063240951174517e-12,-0.10029149205902924,89.26094777132789,0.0,-0.0005937383028218612,0.25708383800333623,7.29638571783653e-13,0.04651162790697674,56.09502038673118,104.0
13,13,4.041750334415895e-08,0.35555555555555746,260.14130051380914,0.0,0.18132916617344413,96.248362774663,2.93428415787389e-07,0.0003918310170059781,0.3980222177049518,0.03301528282269395,0.0,30.76023593334359,58.0
14,14,0.0037905065490795313,0.13728813559321976,330.05015727179614,0.0,0.3209531404776871,79.97435799095659,0.0,0.0009531740897694332,0.25897383602556256,0.11087489625572776,0.0,58.561785890454885,92.0
15,15,4.475650738910986e-09,-0.9651668351870438,1450.558126898659,0.0,1.123247549854679,256.9058688962803,0.0,0.0009851974482271537,0.18323243155331687,0.003981052326582857,-0.029631255487269526,135.41494931926587,72.0
16,16,0.8912803576574799,0.011111111111111795,576.7155832522617,0.0,0.6580186071903872,208.22555028789256,0.0,0.0014028399073300352,0.3856392056661717,0.17932293587391898,0.0,44.007027105785504,102.0
17,17,1.3013080200074969e-06,1.1144599303135951,353.3661971830987,2.700492820517653e-05,-0.2119810744436854,75.44100805333422,2.220446049250313e-16,-0.0017151375433677525,0.25270675280962684,4.422174293416959e-07,0.2358288770053476,79.26408450704227,4.0
18,18,6.265146507145047e-06,0.6199999999999971,414.1972959073061,2.8313995592554875e-10,-0.2511647559074276,93.52759429279392,0.0,-0.0008559304222782142,0.2315516312390721,1.2605953059185993e-07,0.10526315789473684,81.12669566281821,15.0
19,19,0.16747074221467795,0.3457184325108859,1317.6516815074147,0.0065965480947947075,-0.1971496376638496,288.18138700343724,0.8440498183163605,-1.3940537290288168e-05,0.26180405496431924,0.4662857413834387,0.0,119.14705760826232,32.0
